dGexp,dGzhao,Urx free,Ucav free,VDW bound,EEL b,Urx b,Ucav b,,,,,,,,,
-7.32,-7.73,-24.317,3.625,-48.74,-25.235,-2.945,1.099,,,,,,,,,
-7.73,-9.01,-20.927,3.708,-51.788,-12.886,-5.794,1.103,,,,,,,,,
-9.2,-8.56,-20.692,3.58,-49.583,-14.263,-6.247,1.096,,,,,,,,,
-8.06,-7.24,-20.502,3.434,-48.672,-12.626,-5.38,1.105,,,,,,,,,
-10.01,-9.82,-19.6,3.959,-58.687,-17.141,-2.74,1.107,,,,,,,,,
-12.16,-13.45,-20.11,4.228,-62.34,-17.568,-4.715,1.112,,,,,,,,,
-8.03,-7.87,-17.863,3.34,-46.88,-13.775,-4.215,1.095,,,,,,,,,
-5.43,-6.06,-18.874,3.224,-45.175,-12.528,-3.534,1.096,,,,,,,,,
-10.96,-10.2,-21.572,3.715,-52.929,-17.239,-6.843,1.1,,,,,,,,,
-11.24,-10.2,-20.497,3.737,-51.868,-15.964,-6.696,1.095,,,,,,,,,
-11.89,-9.31,-20.717,3.71,-52.074,-14.396,-6.048,1.1,,,,,,,,,
-9.93,-8.49,-21.555,3.774,-53.019,-14.019,-5.709,1.104,,,,,,,,,
-6.52,-7.62,-24.239,3.576,-47.59,-22.58,-4.035,1.097,,,,,,,,,
-5.78,-7.15,-23.174,3.513,-49.273,-20.229,-5.702,1.093,,,,,,,,,
-9.35,-10.67,-24.946,3.933,-55.545,-21.328,-5.453,1.097,,,,,,,,,
-11.19,-10.77,-25.558,3.972,-58.115,-23.49,-6.601,1.098,,,,,,,,,
-12.16,-11.25,-24.012,4.061,-60.584,-20.338,-5.567,1.096,,,,,,,,,
-11.68,-11.85,-20.562,4.08,-60.592,-15.895,-5.822,1.101,,,,,,,,,
-5.11,-5.53,-21.665,3.132,-44.921,-15.856,-4.068,1.092,,,,,,,,,
-8.4,-9.59,-18.785,3.615,-49.398,-16.408,-4.973,1.102,,,,,,,,,